ιη	318
ικμενος	319
ιλιον	320
ιξευτης	321
ιππαρχικος	322
ιρηιαι	323
ισονται	324
ιστωρ	325
ιχθυοεις	326
καδδυναμιν	327
καθεισεν	328
καθιημι	329
καιαδας	330
κακοεργιη	331
κακτουτω	332
καλλιθριξ	333
καλυξ	334
καναφορος	335
καπω	336
καρρωτος	337
κατα	338
καταβριθω	339
καταδιδουν	340
καταιρεομενος	341
κατακομιζω	342
καταληψις	343
κατανθιζω	344
καταπινω	345
καταργυροω	346
κατασκευαστικα	347
κατασχεσις	348
καταφρονησις	349
κατεδαισατο	350
κατεκτανον	351
κατεπεφνεν	352
κατετρωξαν	353
κατηλογεω	354
κατιδειν	355
κατω	356
καχεταιρεια	357
κεκαδμενον	358
κεκολασθαι	359
κελεος	360
κεραμει	361
κεροωντο	362
κεχειμανται	363
κηλαινω	364
κιβδης	365
κιρνων	366
κλαπεις	367
κληδος	368
κλονησις	369
κνημιδας	370
κοιλιακος	371
κοιταζω	372
κολλυριων	373
κομιω	374
κοπριζω	375
κορυθος	376
κοτινηφορος	377
κραθεις	378
κρατησιπους	379
κρημνη	380
κρονιδης	381
κτανεεσθαι	382
κτιστος	383
κυδωνιος	384
κυμω	385
κυρκαναν	386
κωμυς	387
λαγω	388
λακτιστης	389
λαξευτηριον	390
λαυω	391
λειπωσα	392
λεληφα	393
λευκη	394
ληιον	395
λιγυριον	396
λιπαρης	397
λογιμος	398
λοφουρα	399
λυρα	400
λωβητης	401
μαθησεαι	402
μακρυμμα	403
μανικος	404
μαρτυρια	405
ματρυλλη	406
μεγαλητορα	407
μεθειλε	408
μειναι	409
μελησιμβροτος	410
μεμαθηκα	411
μεμυθολογηκασιν	412
μεριμνησητε	413
μεσφα	414
μετακυλινδεω	415
μεταπεμπτος	416
μετειληφα	417
μετουσια	418
μηδολως	419
μητι	420
μιγνυναι	421
μινως	422
μνασκομην	423
μοιχιδιος	424
μορσιμος	425
μυθησαιμην	426
μυσαρχης	427
ναες	428
ναυλοχεω	429
νεικε	430
νενασται	431
νεοχμεω	432
νηκουστεω	433
νικα	434
νομεες	435
νουθετημα	436
νωται	437
ξεσθεις	438
ξυννενοφυιαν	439
ογε	440
οθονιον	441
οικητος	442
οινευς	443
οιστεον	444
οκτωκαιδεκατος	445
ολκιον	446
ολυνθος	447
ομοδρομεω	448
ομοσσον	449
ονειροκριτας	450
οξυβελικος	451
οπλισομεθα	452
οραματισμος	453
ορητε	454
ορκωμοτης	455
ορρωδια	456
ορωρυχα	457
οτεω τροπω	458
ουκουν	459
ουρευς	460
οφθαλμιαμενους	461
οχυρωματιον	462
παθεσιν	463
παιπαλοεσσης	464
παλιλλογια	465
παμπληθης	466
πανηγυρις	467
πανυστατος	468
παραγενομενος	469
παραθετης	470
παρακιω	471
παραλυτικος	472
παραπορφυρος	473
παρατατικος	474
παραχρημα	475
παρεισθω	476
παρεξηιε	477
παρεων	478
παριππευω	479
παροργισμα	480
πασιθοη	481
παυεσκον	482
πεζομαχεω	483
πεισας	484
πελομαι	485
πεντακοσιοι	486
πεπιθημενος	487
πεπρασθαι	488
περησεμεναι	489
περιγογγυζωσι	490
περιεσπατο	491
περικαθαιρω	492
περιμετρος	493
περιπνιγης	494
περιστεναχιζω	495
περιφευγω	496
πεσον	497
πευσομενος	498
πηγαιος	499
πητυα	500
πιλατος	501
πισον	502
πλαγχθην	503
πλεγμα	504
πλευση	505
πληροφορια	506
πλουτοδοτειρα	507
ποδαρκης	508
ποιημενος	509
πολεας	510
πολιτογραφια	511
πολυετης	512
πολυπαμμων	513
πολυτρηρων	514
πονηροτατος	515
πορνικος	516
ποταμοχωστος	517
ποτισταζω	518
πρασινος	519
πρησε	520
προαναλισκω	521
προγινομαι	522
προειχον	523
προηγουμενως	524
προισχομαι	525
προκωπος	526
προοδος	527
προσαββατον	528
προσβασις	529
προσελαυνω	530
προσευχη	531
προσισχω	532
προσοδοι	533
προσπυροω	534
προσφιλης	535
προτελευταω	536
προυπεμψαν	537
προχοη	538
πρωτον	539
πτολεμαις	540
πυθιας	541
πυρα	542
πυρωσις	543
ραδανιζω	544
ραχθεις	545
ρημασι	546
ριψοκινδυνως	547
ρυμη	548
σα	549
σαλπιστης	550
σαρωθρον	551
σεβασσατο	552
σεσαγμαι	553
σηστιας	554
σικχαινομαι	555
σιτοφαγος	556
σκελεω	557
σκιαζω	558
σκολυθρος	559
σκυλευσαντες	560
σοβη	561
σπαργανιζω	562
σπεσθαι	563
σπουδαιολογεω	564
